estimate,ground_truth,relative_error_pct,energy_proxy,cpu_time,wall_time,cheap_hash_calls,full_hash_calls,register_updates,skipped_updates,total_items,cpu_time_per_M,wall_time_per_M,cheap_calls_per_M,full_calls_per_M,register_updates_per_M,skipped_updates_per_M,update_rate,skip_rate,variant,delta,p
5449.762706601321,4970,9.653173171052737,11967720.00000001,0.04544700000000024,0.04555821418762207,0,25000,1873,23127,25000,1.8178800000000095,1.8223285675048828,0.0,1000000.0,74920.0,925080.0,0.07492,0.92508,THLL,0,10
5449.762706601321,4970,9.653173171052737,11905320.00000001,0.04460500000000023,0.04539012908935547,0,25000,1514,23486,25000,1.7842000000000091,1.8156051635742188,0.0,1000000.0,60560.0,939440.0,0.06056,0.93944,THLL,1,10
5449.762706601321,4970,9.653173171052737,11839280.000000006,0.043394000000000155,0.04357504844665527,0,25000,1294,23706,25000,1.7357600000000062,1.743001937866211,0.0,1000000.0,51760.0,948240.0,0.05176,0.94824,THLL,2,10
5449.762706601321,4970,9.653173171052737,11819040.000000002,0.04313600000000006,0.04325985908508301,0,25000,1170,23830,25000,1.7254400000000025,1.7303943634033203,0.0,1000000.0,46800.0,953200.0,0.0468,0.9532,THLL,3,10
